tstamp,repository_name,url,forks_count,total_releases,latest_release,release_date,stars,open_issues,contributors_count,discussions
2025-07-10 12:38:01,18F/ckanext-formats,https://github.com/18F/ckanext-formats,8,0,No releases,No releases,1,1,1,FALSE
2025-07-10 12:37:56,6aika/ckanext-collection,https://github.com/6aika/ckanext-collection,2,0,No releases,No releases,1,3,1,FALSE
2025-07-10 12:29:07,6aika/ckanext-rating,https://github.com/6aika/ckanext-rating,19,0,No releases,No releases,2,1,2,FALSE
2025-07-10 12:38:26,6aika/ckanext-reminder,https://github.com/6aika/ckanext-reminder,2,0,No releases,No releases,1,2,2,FALSE
2025-07-10 12:51:46,908Inc/ckanext-forum,https://github.com/908Inc/ckanext-forum,0,0,No releases,No releases,0,0,8,FALSE
2025-07-10 12:50:05,AKSW/ckanext-metaconf,https://github.com/AKSW/ckanext-metaconf,0,0,No releases,No releases,0,10,1,FALSE
2025-07-10 12:37:20,AjuntamentdeBarcelona/ckanext-federagobes,https://github.com/AjuntamentdeBarcelona/ckanext-federagobes,0,0,No releases,No releases,6,0,1,FALSE
2025-07-10 12:36:29,AjuntamentdeBarcelona/ckanext-odatabcn,https://github.com/AjuntamentdeBarcelona/ckanext-odatabcn,0,0,No releases,No releases,10,0,4,FALSE
2025-07-10 12:50:27,AnnaGerber/ckanext-hideorgs,https://github.com/AnnaGerber/ckanext-hideorgs,0,0,No releases,No releases,0,0,1,FALSE
2025-07-10 12:28:53,AppGeo/ckanext-agsview,https://github.com/AppGeo/ckanext-agsview,10,0,No releases,No releases,10,8,2,FALSE
2025-07-10 12:41:32,BU-Spark/ckanext-spark,https://github.com/BU-Spark/ckanext-spark,0,0,No releases,No releases,2,1,4,FALSE
2025-07-10 12:35:09,BioplatformsAustralia/ckanext-bpatheme,https://github.com/BioplatformsAustralia/ckanext-bpatheme,3,0,No releases,No releases,3,0,6,FALSE
2025-07-10 12:45:46,BioplatformsAustralia/ckanext-bpatogalaxy,https://github.com/BioplatformsAustralia/ckanext-bpatogalaxy,1,0,No releases,No releases,0,0,1,FALSE
2025-07-10 12:38:39,BioplatformsAustralia/ckanext-bulk,https://github.com/BioplatformsAustralia/ckanext-bulk,2,0,No releases,No releases,1,2,4,FALSE
2025-07-10 12:45:51,BioplatformsAustralia/ckanext-cilogin,https://github.com/BioplatformsAustralia/ckanext-cilogin,1,0,No releases,No releases,1,0,1,FALSE
2025-07-10 12:46:57,BioplatformsAustralia/ckanext-laissezpasser,https://github.com/BioplatformsAustralia/ckanext-laissezpasser,0,0,No releases,No releases,0,0,1,FALSE
2025-07-10 12:40:42,CENDARI/ckanext-dariahshibboleth,https://github.com/CENDARI/ckanext-dariahshibboleth,0,0,No releases,No releases,3,1,1,FALSE
2025-07-10 12:42:29,CSCfi/fairdata-ckanext-etsin,https://github.com/CSCfi/fairdata-ckanext-etsin,0,0,No releases,No releases,2,0,7,FALSE
