tstamp,repository_name,url,forks_count,total_releases,latest_release,release_date,stars,open_issues,contributors_count,discussions
2025-10-26 0:00:00,jqnatividad/ckanext-datatablesplus,https://github.com/jqnatividad/ckanext-datatablesplus,0,0,No releases,No releases,0,0,1,FALSE
2025-10-26 0:00:00,open-data/ckanext-power-bi,https://github.com/open-data/ckanext-power-bi,0,0,No releases,No releases,0,0,1,FALSE
2025-10-26 0:00:00,open-data/ckanext-virtual-library,https://github.com/open-data/ckanext-virtual-library,1,0,No releases,No releases,0,0,3,FALSE
