tstamp,repository_name,url,forks_count,total_releases,latest_release,release_date,stars,open_issues,contributors_count,discussions
2026-08-30 0:00:00,18F/ckanext-formats,https://github.com/18F/ckanext-formats,7,0,No releases,No releases,1,1,1,FALSE
2026-08-30 0:00:00,6aika/ckanext-collection,https://github.com/6aika/ckanext-collection,2,0,No releases,No releases,1,3,1,FALSE
2026-08-30 0:00:00,6aika/ckanext-datasetcopy,https://github.com/6aika/ckanext-datasetcopy,0,0,No releases,No releases,0,1,1,FALSE
2026-08-30 0:00:00,6aika/ckanext-editor,https://github.com/6aika/ckanext-editor,1,0,No releases,No releases,0,1,1,FALSE
2026-08-30 0:00:00,6aika/ckanext-rating,https://github.com/6aika/ckanext-rating,19,0,No releases,No releases,2,1,2,FALSE
2026-08-30 0:00:00,6aika/ckanext-reminder,https://github.com/6aika/ckanext-reminder,2,0,No releases,No releases,1,2,3,FALSE
2026-08-30 0:00:00,908Inc/ckanext-forum,https://github.com/908Inc/ckanext-forum,0,0,No releases,No releases,0,0,8,FALSE
2026-08-30 0:00:00,AKSW/ckanext-metaconf,https://github.com/AKSW/ckanext-metaconf,0,0,No releases,No releases,0,10,1,FALSE
2026-08-30 0:00:00,ALTERNATIVE-EU/ckanext-alternative_theme,https://github.com/ALTERNATIVE-EU/ckanext-alternative_theme,0,0,No releases,No releases,0,1,4,FALSE
2026-08-30 0:00:00,ALTERNATIVE-EU/ckanext-keycloak_access_token,https://github.com/ALTERNATIVE-EU/ckanext-keycloak_access_token,0,0,No releases,No releases,0,0,1,FALSE
2026-08-30 0:00:00,ALTERNATIVE-EU/ckanext-keycloak_auth,https://github.com/ALTERNATIVE-EU/ckanext-keycloak_auth,0,0,No releases,No releases,0,4,3,FALSE
2026-08-30 0:00:00,AQUACROSS/ckanext-aquacross_theme,https://github.com/AQUACROSS/ckanext-aquacross_theme,1,0,No releases,No releases,1,0,3,FALSE
2026-08-30 0:00:00,Abeelha/ckanext-onboarding-theodoro-bertol,https://github.com/Abeelha/ckanext-onboarding-theodoro-bertol,0,0,No releases,No releases,0,0,1,FALSE
2026-08-30 0:00:00,AjuntamentdeBarcelona/ckanext-federagobes,https://github.com/AjuntamentdeBarcelona/ckanext-federagobes,0,0,No releases,No releases,6,3,2,FALSE
2026-08-30 0:00:00,AjuntamentdeBarcelona/ckanext-odatabcn,https://github.com/AjuntamentdeBarcelona/ckanext-odatabcn,0,0,No releases,No releases,10,1,4,FALSE
2026-08-30 0:00:00,AnnaGerber/ckanext-hideorgs,https://github.com/AnnaGerber/ckanext-hideorgs,0,0,No releases,No releases,0,0,1,FALSE
2026-08-30 0:00:00,AppGeo/ckanext-agsview,https://github.com/AppGeo/ckanext-agsview,9,0,No releases,No releases,10,8,2,FALSE
2026-08-30 0:00:00,AustinMastLab/ckanext-digitizationknowledge,https://github.com/AustinMastLab/ckanext-digitizationknowledge,0,0,No releases,No releases,1,8,3,FALSE
2026-08-30 0:00:00,AustinMastLab/ckanext-digitizationknowledge-theme,https://github.com/AustinMastLab/ckanext-digitizationknowledge-theme,0,0,No releases,No releases,0,9,3,FALSE
2026-08-30 0:00:00,BPM-Conseil/ckanext-datapusherplusapi,https://github.com/BPM-Conseil/ckanext-datapusherplusapi,0,0,No releases,No releases,0,0,1,FALSE
2026-08-30 0:00:00,BU-Spark/ckanext-spark,https://github.com/BU-Spark/ckanext-spark,0,0,No releases,No releases,2,2,7,FALSE
2026-08-30 0:00:00,BetaNYC/ckanext-datacity_theme,https://github.com/BetaNYC/ckanext-datacity_theme,0,0,No releases,No releases,1,0,1,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-aup,https://github.com/BioplatformsAustralia/ckanext-aup,0,0,No releases,No releases,0,1,1,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-bpaschema,https://github.com/BioplatformsAustralia/ckanext-bpaschema,0,0,No releases,No releases,0,0,5,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-bpatheme,https://github.com/BioplatformsAustralia/ckanext-bpatheme,3,0,No releases,No releases,3,0,9,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-bpatogalaxy,https://github.com/BioplatformsAustralia/ckanext-bpatogalaxy,1,0,No releases,No releases,0,0,1,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-bulk,https://github.com/BioplatformsAustralia/ckanext-bulk,2,0,No releases,No releases,1,2,5,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-cilogin,https://github.com/BioplatformsAustralia/ckanext-cilogin,1,0,No releases,No releases,1,0,1,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-drs,https://github.com/BioplatformsAustralia/ckanext-drs,0,1,0.0.1,2023-11-19,0,0,2,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-initiatives,https://github.com/BioplatformsAustralia/ckanext-initiatives,1,0,No releases,No releases,0,0,1,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-laissezpasser,https://github.com/BioplatformsAustralia/ckanext-laissezpasser,0,0,No releases,No releases,0,0,1,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-lollipop,https://github.com/BioplatformsAustralia/ckanext-lollipop,0,0,No releases,No releases,0,0,1,FALSE
2026-08-30 0:00:00,BioplatformsAustralia/ckanext-oidc-pkce-bpa,https://github.com/BioplatformsAustralia/ckanext-oidc-pkce-bpa,1,0,No releases,No releases,0,0,3,FALSE
2026-08-30 0:00:00,CENDARI/ckanext-dariahshibboleth,https://github.com/CENDARI/ckanext-dariahshibboleth,0,0,No releases,No releases,3,1,1,FALSE
2026-08-30 0:00:00,CSCfi/fairdata-ckanext-etsin,https://github.com/CSCfi/fairdata-ckanext-etsin,0,0,No releases,No releases,2,0,7,FALSE
2026-08-30 0:00:00,CSCfi/fairdata-ckanext-harvest,https://github.com/CSCfi/fairdata-ckanext-harvest,0,0,No releases,No releases,1,0,31,FALSE
2026-08-30 0:00:00,CSCfi/fairdata-ckanext-oaipmh,https://github.com/CSCfi/fairdata-ckanext-oaipmh,0,0,No releases,No releases,1,0,9,FALSE
2026-08-30 0:00:00,CSCfi/fairdata-ckanext-spatial,https://github.com/CSCfi/fairdata-ckanext-spatial,0,0,No releases,No releases,1,0,25,FALSE
2026-08-30 0:00:00,CSIRO-enviro-informatics/ckanext-csiro_hub_theme,https://github.com/CSIRO-enviro-informatics/ckanext-csiro_hub_theme,1,2,v0.2,2019-03-22,1,1,2,FALSE
2026-08-30 0:00:00,CSIRO-enviro-informatics/ckanext-dcat-rev,https://github.com/CSIRO-enviro-informatics/ckanext-dcat-rev,0,0,No releases,No releases,1,0,14,FALSE
2026-08-30 0:00:00,CSIRO-enviro-informatics/ckanext-digitalassetfields,https://github.com/CSIRO-enviro-informatics/ckanext-digitalassetfields,2,1,v0.1,2018-12-05,0,0,4,FALSE
