tstamp,repository_name,url,forks_count,total_releases,latest_release,release_date,stars,open_issues,contributors_count,discussions
2026-08-02 0:00:00,18F/ckanext-formats,https://github.com/18F/ckanext-formats,7,0,No releases,,1,1,1,FALSE
2026-08-02 0:00:00,6aika/ckanext-collection,https://github.com/6aika/ckanext-collection,2,0,No releases,,1,3,1,FALSE
2026-08-02 0:00:00,6aika/ckanext-rating,https://github.com/6aika/ckanext-rating,19,0,No releases,,2,1,2,FALSE
2026-08-02 0:00:00,6aika/ckanext-reminder,https://github.com/6aika/ckanext-reminder,2,0,No releases,,1,2,3,FALSE
2026-08-02 0:00:00,908Inc/ckanext-forum,https://github.com/908Inc/ckanext-forum,0,0,No releases,,0,0,8,FALSE
2026-08-02 0:00:00,AKSW/ckanext-metaconf,https://github.com/AKSW/ckanext-metaconf,0,0,No releases,,0,10,1,FALSE
2026-08-02 0:00:00,AjuntamentdeBarcelona/ckanext-federagobes,https://github.com/AjuntamentdeBarcelona/ckanext-federagobes,0,0,No releases,,6,3,2,FALSE
2026-08-02 0:00:00,AjuntamentdeBarcelona/ckanext-odatabcn,https://github.com/AjuntamentdeBarcelona/ckanext-odatabcn,0,0,No releases,,10,1,4,FALSE
2026-08-02 0:00:00,AnnaGerber/ckanext-hideorgs,https://github.com/AnnaGerber/ckanext-hideorgs,0,0,No releases,,0,0,1,FALSE
2026-08-02 0:00:00,AppGeo/ckanext-agsview,https://github.com/AppGeo/ckanext-agsview,9,0,No releases,,10,8,2,FALSE
2026-08-02 0:00:00,AustinMastLab/ckanext-digitizationknowledge,https://github.com/AustinMastLab/ckanext-digitizationknowledge,0,0,No releases,,1,8,3,FALSE
2026-08-02 0:00:00,BU-Spark/ckanext-spark,https://github.com/BU-Spark/ckanext-spark,0,0,No releases,,2,1,6,FALSE
2026-08-02 0:00:00,BioplatformsAustralia/ckanext-bpatheme,https://github.com/BioplatformsAustralia/ckanext-bpatheme,3,0,No releases,,3,0,9,FALSE
2026-08-02 0:00:00,BioplatformsAustralia/ckanext-bpatogalaxy,https://github.com/BioplatformsAustralia/ckanext-bpatogalaxy,1,0,No releases,,0,0,1,FALSE
2026-08-02 0:00:00,BioplatformsAustralia/ckanext-bulk,https://github.com/BioplatformsAustralia/ckanext-bulk,2,0,No releases,,1,2,5,FALSE
2026-08-02 0:00:00,BioplatformsAustralia/ckanext-cilogin,https://github.com/BioplatformsAustralia/ckanext-cilogin,1,0,No releases,,1,0,1,FALSE
2026-08-02 0:00:00,BioplatformsAustralia/ckanext-laissezpasser,https://github.com/BioplatformsAustralia/ckanext-laissezpasser,0,0,No releases,,0,0,1,FALSE
2026-08-02 0:00:00,CENDARI/ckanext-dariahshibboleth,https://github.com/CENDARI/ckanext-dariahshibboleth,0,0,No releases,,3,1,1,FALSE
2026-08-02 0:00:00,CSCfi/fairdata-ckanext-etsin,https://github.com/CSCfi/fairdata-ckanext-etsin,0,0,No releases,,2,0,7,FALSE
2026-08-02 0:00:00,CSIRO-enviro-informatics/ckanext-digitalassetfields,https://github.com/CSIRO-enviro-informatics/ckanext-digitalassetfields,2,1,v0.1,2018-12-05 0:00:00,0,0,4,FALSE
2026-08-02 0:00:00,CSIRO-enviro-informatics/ckanext-user_opt_in,https://github.com/CSIRO-enviro-informatics/ckanext-user_opt_in,2,1,v0.1,2018-09-17 0:00:00,1,0,3,FALSE
2026-08-02 0:00:00,Cadasta/ckanext-project,https://github.com/Cadasta/ckanext-project,3,0,No releases,,1,14,4,FALSE
2026-08-02 0:00:00,Chealer/ckanext-categroupy,https://github.com/Chealer/ckanext-categroupy,0,1,v0.1,2020-04-21 0:00:00,2,2,1,FALSE
2026-08-02 0:00:00,City-of-Bloomington/ckanext-cob,https://github.com/City-of-Bloomington/ckanext-cob,0,1,0.1.0,2019-02-21 0:00:00,0,1,5,FALSE
2026-08-02 0:00:00,City-of-Helsinki/ckanext-hoi,https://github.com/City-of-Helsinki/ckanext-hoi,0,0,No releases,,0,0,1,FALSE
2026-08-02 0:00:00,CityOfPhiladelphia/ckanext-highlight-related-items,https://github.com/CityOfPhiladelphia/ckanext-highlight-related-items,3,0,No releases,,3,0,2,FALSE
2026-08-02 0:00:00,CiudadesAbiertas/ckanext-abrircon,https://github.com/CiudadesAbiertas/ckanext-abrircon,1,0,No releases,,0,0,1,FALSE
2026-08-02 0:00:00,CivityNL/ckanext-fairdatapoint,https://github.com/CivityNL/ckanext-fairdatapoint,3,3,0.0.3,2024-03-22 0:00:00,1,4,6,FALSE
2026-08-02 0:00:00,CivityNL/ckanext-portal,https://github.com/CivityNL/ckanext-portal,0,0,No releases,,0,0,4,FALSE
2026-08-02 0:00:00,CivityNL/ckanext-tracker,https://github.com/CivityNL/ckanext-tracker,0,0,No releases,,0,1,4,FALSE
2026-08-02 0:00:00,Clairewjlee/ckanext-categories,https://github.com/Clairewjlee/ckanext-categories,0,0,No releases,,0,0,1,FALSE
2026-08-02 0:00:00,CodeForAfrica/ckanext-embed,https://github.com/CodeForAfrica/ckanext-embed,1,0,No releases,,0,2,1,FALSE
2026-08-02 0:00:00,CodeForAfrica/ckanext-followy,https://github.com/CodeForAfrica/ckanext-followy,1,0,No releases,,1,3,1,FALSE
2026-08-02 0:00:00,CodeForAfrica/ckanext-kyelatheme,https://github.com/CodeForAfrica/ckanext-kyelatheme,1,0,No releases,,0,0,0,FALSE
2026-08-02 0:00:00,CodeForAfrica/ckanext-notify,https://github.com/CodeForAfrica/ckanext-notify,5,0,No releases,,2,10,2,FALSE
2026-08-02 0:00:00,CodeForAfrica/ckanext-openafrica,https://github.com/CodeForAfrica/ckanext-openafrica,13,0,No releases,,10,12,7,FALSE
2026-08-02 0:00:00,CodeForAfrica/ckanext-opengovharvester,https://github.com/CodeForAfrica/ckanext-opengovharvester,0,0,No releases,,0,0,0,FALSE
